album_group,album_name,album_id,album_release_date,total_tracks,album_uri,artist_id
album,Positions (Deluxe),74vajFwEwXJ61OW1DKSPEa,2021-02-19,19,spotify:album:74vajFwEwXJ61OW1DKSPEa,66CXWjxzNUsdJxJ2JdwvnR
album,Positions,3euz4vS7ezKGnNSwgyvKcd,2020-10-30,14,spotify:album:3euz4vS7ezKGnNSwgyvKcd,66CXWjxzNUsdJxJ2JdwvnR
album,k bye for now (swt live),5UACk85y1hNRSUtY0ss8pb,2019-12-23,32,spotify:album:5UACk85y1hNRSUtY0ss8pb,66CXWjxzNUsdJxJ2JdwvnR
album,"thank u, next",2fYhqwDWXjbpjaIJPEfKFw,2019-02-08,12,spotify:album:2fYhqwDWXjbpjaIJPEfKFw,66CXWjxzNUsdJxJ2JdwvnR
album,Sweetener,3tx8gQqWbGwqIGZHqDNrGe,2018-08-17,15,spotify:album:3tx8gQqWbGwqIGZHqDNrGe,66CXWjxzNUsdJxJ2JdwvnR
album,Christmas & Chill (Japan Version),2A1KyqHu1DmLtjXpIMNoQq,2016-11-18,7,spotify:album:2A1KyqHu1DmLtjXpIMNoQq,66CXWjxzNUsdJxJ2JdwvnR
album,Dangerous Woman,5X7x18kW3mVIvnuNeedM6b,2016-05-20,17,spotify:album:5X7x18kW3mVIvnuNeedM6b,66CXWjxzNUsdJxJ2JdwvnR
album,Dangerous Woman (Edited),3XBmc6isA4z9BgIO42H2Km,2016-05-20,17,spotify:album:3XBmc6isA4z9BgIO42H2Km,66CXWjxzNUsdJxJ2JdwvnR
album,My Everything (Italian Edition),2LFT0OnfZzsvjcU7bNMM7W,2015-06-30,18,spotify:album:2LFT0OnfZzsvjcU7bNMM7W,66CXWjxzNUsdJxJ2JdwvnR
album,The Remix,73mU4gsuOLOppKZanTCC24,2015-05-25,15,spotify:album:73mU4gsuOLOppKZanTCC24,66CXWjxzNUsdJxJ2JdwvnR
album,My Everything (Deluxe),6dYDqMHA4COCFC0TfCiUCj,2015-04-13,18,spotify:album:6dYDqMHA4COCFC0TfCiUCj,66CXWjxzNUsdJxJ2JdwvnR
album,My Everything,3AJFL1V5nHtDvH50DJtxZ3,2014-08-25,18,spotify:album:3AJFL1V5nHtDvH50DJtxZ3,66CXWjxzNUsdJxJ2JdwvnR
album,Yours Truly,1oo1wVkwE6SksxdwOLs5uG,2014-01-01,15,spotify:album:1oo1wVkwE6SksxdwOLs5uG,66CXWjxzNUsdJxJ2JdwvnR
album,Yours Truly (LatAm Version),6WQzwx2a6Wq6rDoEU3TaNE,2013-01-01,14,spotify:album:6WQzwx2a6Wq6rDoEU3TaNE,66CXWjxzNUsdJxJ2JdwvnR
single,Die For You (Remix),6Exo0MYoL3XammoTDeihFy,2023-02-24,1,spotify:album:6Exo0MYoL3XammoTDeihFy,66CXWjxzNUsdJxJ2JdwvnR
single,"Santa, Can’t You Hear Me (Live)",4xKjjV0sVc9PiJ1sPU9RiN,2022-12-14,2,spotify:album:4xKjjV0sVc9PiJ1sPU9RiN,66CXWjxzNUsdJxJ2JdwvnR
single,It Was A… (Masked Christmas),7LsTjhsTKJA0Rfwwx1ppXs,2021-12-07,1,spotify:album:7LsTjhsTKJA0Rfwwx1ppXs,66CXWjxzNUsdJxJ2JdwvnR
single,Just Look Up (From Don’t Look Up),1geA7d12ed5LXsBns7ONB4,2021-12-03,1,spotify:album:1geA7d12ed5LXsBns7ONB4,66CXWjxzNUsdJxJ2JdwvnR
single,"Santa, Can’t You Hear Me",5RNKudvhTz6IX57BupmjeD,2021-10-14,1,spotify:album:5RNKudvhTz6IX57BupmjeD,66CXWjxzNUsdJxJ2JdwvnR
single,Save Your Tears (Remix),2fyOpT5c9kxR8zbDh6UtXh,2021-04-23,1,spotify:album:2fyOpT5c9kxR8zbDh6UtXh,66CXWjxzNUsdJxJ2JdwvnR
single,Met Him Last Night,3UIdh1xeV6hqlfhmimFkWx,2021-04-01,1,spotify:album:3UIdh1xeV6hqlfhmimFkWx,66CXWjxzNUsdJxJ2JdwvnR
single,34+35 (Remix),11X2d5C6rFBFZZUOCJLPt9,2021-01-15,1,spotify:album:11X2d5C6rFBFZZUOCJLPt9,66CXWjxzNUsdJxJ2JdwvnR
single,Rain On Me (Purple Disco Machine Remix),42hbqXgvZ1dI3gQ1ZDnHA5,2020-07-17,2,spotify:album:42hbqXgvZ1dI3gQ1ZDnHA5,66CXWjxzNUsdJxJ2JdwvnR
single,Rain On Me (Ralphi Rosario Remix),7vAZjssOcIuksA5DxN5sM1,2020-07-17,2,spotify:album:7vAZjssOcIuksA5DxN5sM1,66CXWjxzNUsdJxJ2JdwvnR
single,Rain On Me (with Ariana Grande),4TqgXMSSTwP3RCo3MMSR6t,2020-05-22,1,spotify:album:4TqgXMSSTwP3RCo3MMSR6t,66CXWjxzNUsdJxJ2JdwvnR
single,Stuck with U,5mUdh6YWnUvf0MfklEk1oi,2020-05-08,1,spotify:album:5mUdh6YWnUvf0MfklEk1oi,66CXWjxzNUsdJxJ2JdwvnR
single,A Hand For Mrs. Claus,62OlfZyTDTwngT4QlTxiAo,2019-10-18,1,spotify:album:62OlfZyTDTwngT4QlTxiAo,66CXWjxzNUsdJxJ2JdwvnR
