track_name,track_id,track_uri,track_number,album_id
shut up,12sliObzVzbLbAlDb8eChf,spotify:track:12sliObzVzbLbAlDb8eChf,1,74vajFwEwXJ61OW1DKSPEa
34+35,1hG4V53eR16jg7jVTNLOiX,spotify:track:1hG4V53eR16jg7jVTNLOiX,2,74vajFwEwXJ61OW1DKSPEa
motive (with Doja Cat),5VipERQ1ofCowecoFg2MVU,spotify:track:5VipERQ1ofCowecoFg2MVU,3,74vajFwEwXJ61OW1DKSPEa
just like magic,1N9hFgcgWYbGINUKjhvcK6,spotify:track:1N9hFgcgWYbGINUKjhvcK6,4,74vajFwEwXJ61OW1DKSPEa
off the table (with The Weeknd),1qKdid2S9fZdSrzLaCcjcF,spotify:track:1qKdid2S9fZdSrzLaCcjcF,5,74vajFwEwXJ61OW1DKSPEa
six thirty,4rJWTThj9EWR6UqD1eVyge,spotify:track:4rJWTThj9EWR6UqD1eVyge,6,74vajFwEwXJ61OW1DKSPEa
safety net (feat. Ty Dolla $ign),53Z8fbdVNus9Kiu7tWIBEC,spotify:track:53Z8fbdVNus9Kiu7tWIBEC,7,74vajFwEwXJ61OW1DKSPEa
my hair,5Ds3yH73nMHgkmJxcxqPrr,spotify:track:5Ds3yH73nMHgkmJxcxqPrr,8,74vajFwEwXJ61OW1DKSPEa
nasty,7wcl0YJBQ0ygTUUaXLRM1g,spotify:track:7wcl0YJBQ0ygTUUaXLRM1g,9,74vajFwEwXJ61OW1DKSPEa
west side,7cFYqReKEigTxTm0bNE6YA,spotify:track:7cFYqReKEigTxTm0bNE6YA,10,74vajFwEwXJ61OW1DKSPEa
love language,4iIrJ94pkIEnGZWv1MhIRC,spotify:track:4iIrJ94pkIEnGZWv1MhIRC,11,74vajFwEwXJ61OW1DKSPEa
positions,3DFnLXa69NVlOjbhTbXXNn,spotify:track:3DFnLXa69NVlOjbhTbXXNn,12,74vajFwEwXJ61OW1DKSPEa
obvious,65OEcDb4M3mAvEpSdXi6Lv,spotify:track:65OEcDb4M3mAvEpSdXi6Lv,13,74vajFwEwXJ61OW1DKSPEa
pov,3RP1eXaK8f4rwqY9fRKVRF,spotify:track:3RP1eXaK8f4rwqY9fRKVRF,14,74vajFwEwXJ61OW1DKSPEa
someone like u - interlude,3Os1431WclqyKxWqMzRESE,spotify:track:3Os1431WclqyKxWqMzRESE,15,74vajFwEwXJ61OW1DKSPEa
test drive,3eZYOQO4UzKrUDYDghtnFw,spotify:track:3eZYOQO4UzKrUDYDghtnFw,16,74vajFwEwXJ61OW1DKSPEa
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",2sQH02O2HBCPJCztBrCWNa,spotify:track:2sQH02O2HBCPJCztBrCWNa,17,74vajFwEwXJ61OW1DKSPEa
worst behavior,6KIKaWKE9wV6mLjho3w61y,spotify:track:6KIKaWKE9wV6mLjho3w61y,18,74vajFwEwXJ61OW1DKSPEa
main thing,63WsFFnQ8CL941iZBELYsX,spotify:track:63WsFFnQ8CL941iZBELYsX,19,74vajFwEwXJ61OW1DKSPEa
shut up,3ko9jEHNt4O5fjKN65ULJp,spotify:track:3ko9jEHNt4O5fjKN65ULJp,1,3euz4vS7ezKGnNSwgyvKcd
34+35,6Im9k8u9iIzKMrmV7BWtlF,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,2,3euz4vS7ezKGnNSwgyvKcd
motive (with Doja Cat),5GkQIP5mWPi4KZLLXeuFTT,spotify:track:5GkQIP5mWPi4KZLLXeuFTT,3,3euz4vS7ezKGnNSwgyvKcd
just like magic,7Dx9Z6Aon1qPS2N0rHSWTe,spotify:track:7Dx9Z6Aon1qPS2N0rHSWTe,4,3euz4vS7ezKGnNSwgyvKcd
off the table (with The Weeknd),7E1jVNoWuemqUryI4FxsVD,spotify:track:7E1jVNoWuemqUryI4FxsVD,5,3euz4vS7ezKGnNSwgyvKcd
six thirty,2IKJtXeR5UsaUjZB46fTOK,spotify:track:2IKJtXeR5UsaUjZB46fTOK,6,3euz4vS7ezKGnNSwgyvKcd
safety net (feat. Ty Dolla $ign),14gkWVFMwdxBMyqBw1wmIg,spotify:track:14gkWVFMwdxBMyqBw1wmIg,7,3euz4vS7ezKGnNSwgyvKcd
my hair,6u7gmPOz7pzzaeR9xSBpsR,spotify:track:6u7gmPOz7pzzaeR9xSBpsR,8,3euz4vS7ezKGnNSwgyvKcd
nasty,0sci7ppTZFm4mjcH3nu8yO,spotify:track:0sci7ppTZFm4mjcH3nu8yO,9,3euz4vS7ezKGnNSwgyvKcd
west side,1whfVLMKWqAX3uk97VXsNN,spotify:track:1whfVLMKWqAX3uk97VXsNN,10,3euz4vS7ezKGnNSwgyvKcd
love language,6NYtLvyThMT0oALFdJFdzq,spotify:track:6NYtLvyThMT0oALFdJFdzq,11,3euz4vS7ezKGnNSwgyvKcd
positions,35mvY5S1H3J2QZyna3TFe0,spotify:track:35mvY5S1H3J2QZyna3TFe0,12,3euz4vS7ezKGnNSwgyvKcd
obvious,0q85C1JiECyYIQthz1posA,spotify:track:0q85C1JiECyYIQthz1posA,13,3euz4vS7ezKGnNSwgyvKcd
pov,3UoULw70kMsiVXxW0L3A33,spotify:track:3UoULw70kMsiVXxW0L3A33,14,3euz4vS7ezKGnNSwgyvKcd
raindrops (an angel cried) - live,5SyCD1ic378B4rYWhDmuvo,spotify:track:5SyCD1ic378B4rYWhDmuvo,1,5UACk85y1hNRSUtY0ss8pb
god is a woman - live,67kQ3UW7saqCFqB54BVKKI,spotify:track:67kQ3UW7saqCFqB54BVKKI,2,5UACk85y1hNRSUtY0ss8pb
